[@脚本常量]
{
特效_接受任务				12
押镖_补给危机_押金_60		2000000
押镖_补给危机_押金_65		2500000
押镖_补给危机_押金_70		3000000
押镖_补给危机_押金_75		3500000

押镖_补给危机_押金_45_补	250000
押镖_补给危机_押金_50_补	500000
押镖_补给危机_押金_55_补	750000
押镖_补给危机_押金_60_补	1000000
押镖_补给危机_押金_65_补	1250000
押镖_补给危机_押金_70_补	1500000
押镖_补给危机_押金_75_补	1750000

押镖_补给危机_经验_45		1000000
押镖_补给危机_经验_50		2000000
押镖_补给危机_经验_55		3000000
押镖_补给危机_经验_60		4000000
押镖_补给危机_经验_65		5000000
押镖_补给危机_经验_70		6000000
押镖_补给危机_经验_75		7000000

押镖_补给危机_金币_45		100000
押镖_补给危机_金币_50		200000
押镖_补给危机_金币_55		300000
押镖_补给危机_金币_60		400000
押镖_补给危机_金币_65		500000
押镖_补给危机_金币_70		600000
押镖_补给危机_金币_75		700000

押镖_补给危机_声望_45		5
押镖_补给危机_声望_50		10
押镖_补给危机_声望_55		15
押镖_补给危机_声望_60		20
押镖_补给危机_声望_65		25
押镖_补给危机_声望_70		30
押镖_补给危机_声望_75		35
}
