;NPC脚本常量设置 
;常量名称		常量内容
比武大赛奖励经验		1000000




野外成就_每日_1			2000000
野外成就_每日_2			4000000
野外成就_每日_3			3000000
野外成就_每日_4			6000000
野外成就_每日_5			4000000
野外成就_每日_6			8000000
野外成就_每日_7			5000000
野外成就_每日_8			9999999


野外成就_每日_1_数量			200
野外成就_每日_2_数量			50
野外成就_每日_3_数量			200
野外成就_每日_4_数量			50
野外成就_每日_5_数量			200
野外成就_每日_6_数量			50
野外成就_每日_7_数量			200
野外成就_每日_8_数量			50

在线成就_每日_1			古老的藏宝图
在线成就_每日_2			古老的藏宝图
在线成就_每日_3			古老的藏宝图
在线成就_每日_4			古老的藏宝图
在线成就_每日_5			古老的藏宝图
在线成就_每日_6			古老的藏宝图
在线成就_每日_7			古老的藏宝图
在线成就_每日_8			古老的藏宝图

充值成就_每日_1			1000
充值成就_每日_2			5000
充值成就_每日_3			10000
充值成就_每日_4			30000
充值成就_每日_5			50000
充值成就_每日_6			80000
充值成就_每日_7			100000
充值成就_每日_8			200000

充值成就_每日_11		100
充值成就_每日_22		550
充值成就_每日_33		1200
充值成就_每日_44		3900
充值成就_每日_55		7000
充值成就_每日_66		9200
充值成就_每日_77		16000
充值成就_每日_88		34000

副本成就_每日_1			2
副本成就_每日_2			2
副本成就_每日_3			2
副本成就_每日_4			2
副本成就_每日_5			5
副本成就_每日_6			5
副本成就_每日_7			5
副本成就_每日_8			5

副本成就_每日_11		副本挑战令(低)
副本成就_每日_22		副本挑战令(中)
副本成就_每日_33		副本挑战令(高)
副本成就_每日_44		副本挑战令(超)
副本成就_每日_55		副本挑战令(低)
副本成就_每日_66		副本挑战令(中)
副本成就_每日_77		副本挑战令(高)
副本成就_每日_88		副本挑战令(超)

活动成就_每日_1			1000000
活动成就_每日_2			2000000
活动成就_每日_3			3000000
活动成就_每日_4			5000000
活动成就_每日_5			7000000
活动成就_每日_6			10000000
活动成就_每日_7			20000000
活动成就_每日_8			30000000

探险成就_每日_1		古老的藏宝图
探险成就_每日_2		白银铲子
探险成就_每日_3		古老的藏宝图
探险成就_每日_4		黄金铲子
探险成就_每日_5		古老的藏宝图
探险成就_每日_6		黄金铲子
探险成就_每日_7		古老的藏宝图
探险成就_每日_8		黄金铲子

探险成就_每日_11		1
探险成就_每日_12		1
探险成就_每日_13		2
探险成就_每日_14		1
探险成就_每日_15		2
探险成就_每日_16		1
探险成就_每日_17		2
探险成就_每日_18		2

升级成就_永久_条件1		35
升级成就_永久_条件2		40
升级成就_永久_条件3		45
升级成就_永久_条件4		50
升级成就_永久_条件5		55
升级成就_永久_条件6		60
升级成就_永久_条件7		65
升级成就_永久_条件8		70

升级成就_永久_奖励1		优秀勋章
升级成就_永久_奖励2		关卡挑战令[普]
升级成就_永久_奖励3		低级押镖令
升级成就_永久_奖励4		关卡挑战令[普]
升级成就_永久_奖励5		中级押镖令
升级成就_永久_奖励6		关卡挑战令[精]
升级成就_永久_奖励7		高级押镖令
升级成就_永久_奖励8		关卡挑战令[恶]

升级成就_永久_点卷1		10
升级成就_永久_点卷2		30
升级成就_永久_点卷3		50
升级成就_永久_点卷4		100
升级成就_永久_点卷5		200
升级成就_永久_点卷6		500
升级成就_永久_点卷7		800
升级成就_永久_点卷8		1000

冲级成就_永久_条件1		50
冲级成就_永久_条件2		55
冲级成就_永久_条件3		60
冲级成就_永久_条件4		65
冲级成就_永久_条件5		70
冲级成就_永久_条件6		75
冲级成就_永久_条件7		80
冲级成就_永久_条件8		85

冲级成就_永久_名额1		9
冲级成就_永久_名额2		8
冲级成就_永久_名额3		7
冲级成就_永久_名额4		6
冲级成就_永久_名额5		5
冲级成就_永久_名额6		4
冲级成就_永久_名额7		3
冲级成就_永久_名额8		2

冲级成就_永久_奖励1		二转证明卷
冲级成就_永久_奖励2		二转神器(衣服)
冲级成就_永久_奖励3		二转神器(武器)
冲级成就_永久_奖励4		三转证明卷
冲级成就_永久_奖励5		三转神器(衣服)
冲级成就_永久_奖励6		三转神器(武器)
冲级成就_永久_奖励7		四转神器(衣服)
冲级成就_永久_奖励8		四转神器(武器)

BOSS成就_永久_1			100
BOSS成就_永久_2			200
BOSS成就_永久_3			300
BOSS成就_永久_4			600
BOSS成就_永久_5			1000
BOSS成就_永久_6			2000
BOSS成就_永久_7			3000
BOSS成就_永久_8			6000

副本成就_永久_1			副本挑战令(低)
副本成就_永久_2			副本挑战令(中)
副本成就_永久_3			副本挑战令(中)
副本成就_永久_4			神之灵石
副本成就_永久_5			副本挑战令(高)
副本成就_永久_6			神之灵石
副本成就_永久_7			副本挑战令(超)
副本成就_永久_8			神之灵石

副本成就_永久_11		3
副本成就_永久_12		1
副本成就_永久_13		3
副本成就_永久_14		2
副本成就_永久_15		3
副本成就_永久_16		4
副本成就_永久_17		3
副本成就_永久_18		8

强化成就_永久_1			紫晶【精良】
强化成就_永久_2			紫晶【无暇】
强化成就_永久_3			紫晶【史诗】
强化成就_永久_4			紫晶【传说】
强化成就_永久_5			紫晶【精良】
强化成就_永久_6			紫晶【无暇】
强化成就_永久_7			紫晶【史诗】
强化成就_永久_8			紫晶【传说】

强化成就_永久_11		2
强化成就_永久_12		2
强化成就_永久_13		1
强化成就_永久_14		1
强化成就_永久_15		2
强化成就_永久_16		2
强化成就_永久_17		1
强化成就_永久_18		1

充值成就_永久_1			1000
充值成就_永久_2			5000
充值成就_永久_3			10000
充值成就_永久_4			30000
充值成就_永久_5			50000
充值成就_永久_6			80000
充值成就_永久_7			100000
充值成就_永久_8			200000

充值成就_永久_11		一转衣服
充值成就_永久_12		一转武器
充值成就_永久_13		二转衣服
充值成就_永久_14		二转武器
充值成就_永久_15		三转衣服
充值成就_永久_16		三转武器
充值成就_永久_17		四转衣服
充值成就_永久_18		四转武器

充值成就_永久21			紫晶【优秀】
充值成就_永久22			紫晶【精良】
充值成就_永久23			紫晶【无暇】
充值成就_永久24			紫晶【史诗】
充值成就_永久25			紫晶【史诗】
充值成就_永久26			紫晶【传说】
充值成就_永久27			紫晶【传说】
充值成就_永久28			紫晶【传说】

梵天灵塔_1人经验		500000
梵天灵塔_2人经验		400000
梵天灵塔_3人经验		300000
梵天灵塔_4人经验		200000
梵天灵塔_5人经验		100000

猪肉干回收元宝		10	
猪蹄回收元宝		50	
猪肝回收元宝		200	
